layer,index,s,s_over_s1,log10_s_over_s1
1.0,1.0,29.185927146941378,1.0,0.0
1.0,2.0,0.18053065711633406,0.006185537852110115,-2.2086225311120344
1.0,3.0,0.18051751681663425,0.00618508762486074,-2.2086541432904903
1.0,4.0,0.06873515690149451,0.0023550787526959824,-2.6279945656945554
1.0,5.0,0.06707813282604548,0.0022983039904242043,-2.638592528897366
1.0,6.0,0.05291339585262533,0.0018129763562495065,-2.7416078596757694
1.0,7.0,0.05291337173909119,0.001812975530045356,-2.7416080575911943
1.0,8.0,0.05291288167062336,0.001812958738786152,-2.7416120799207104
1.0,9.0,0.05291284159518048,0.0018129573656777127,-2.741612408849125
1.0,10.0,0.05289398144917327,0.00181231115882904,-2.7417672354886538
1.0,11.0,0.052893710584240236,0.0018123018781599125,-2.741769459474138
1.0,12.0,0.05289357951150598,0.0018122973872032402,-2.7417705356745996
1.0,13.0,0.05289329738264959,0.0018122877205973117,-2.741772852162412
2.0,1.0,26.69548289177606,1.0,0.0
2.0,2.0,0.3420029586297343,0.012811266985363032,-1.892407918066214
2.0,3.0,0.33900918736211505,0.012699121747917581,-1.8962263131560138
2.0,4.0,0.2391775570143284,0.008959476701880924,-2.0477173555301014
2.0,5.0,0.22743845296223358,0.008519735487995214,-2.0695738885534096
2.0,6.0,0.1283420350436858,0.004807631147336296,-2.31806885981177
2.0,7.0,0.12834195817268723,0.004807628267785516,-2.3180691199343437
2.0,8.0,0.1272775026134543,0.004767754272490199,-2.3216861359967647
2.0,9.0,0.1272774326503333,0.0047677516517052035,-2.3216863747239955
2.0,10.0,0.12610273966795632,0.004723748215350851,-2.325713259152923
2.0,11.0,0.1261026500329954,0.004723744857668156,-2.3257135678534544
2.0,12.0,0.12487470697841206,0.0046777466991197066,-2.329963299019592
2.0,13.0,0.12487463956688047,0.0046777441739160285,-2.329963533466301
2.0,14.0,0.026793038012208222,0.0010036543680752154,-2.99841582093702
2.0,15.0,0.026463298362748276,0.0009913024787763134,-3.0037938078562476
2.0,16.0,0.005461778252763733,0.00020459559674967766,-3.689103717290014
2.0,17.0,0.005461708164700721,0.00020459297128441463,-3.689109290393298
2.0,18.0,0.0053778434409829335,0.00020145143891139945,-3.69582962622026
2.0,19.0,0.005377791925175815,0.0002014495091539447,-3.6958337864637048
2.0,20.0,0.005315293124783528,0.00019910833403283306,-3.7009105614255207
2.0,21.0,0.005181841074307742,0.00019410928415548854,-3.711953692014674
2.0,22.0,0.0041056722635248125,0.0001537965160686277,-3.8130535024364582
2.0,23.0,0.00410566946891334,0.00015379641138382074,-3.8130537980481574
2.0,24.0,0.0040403755022799925,0.00015135053067441196,-3.820016051955081
2.0,25.0,0.004040240528281113,0.00015134547461307654,-3.8200305603694633
2.0,26.0,0.003937144164456443,0.0001474835342150465,-3.8312564637449165
2.0,27.0,0.003936988151070511,0.0001474776900283515,-3.831273673451309
2.0,28.0,0.003677341785258356,0.00013775146155498897,-3.860903784549503
2.0,29.0,0.0036495544113172495,0.00013671055983937826,-3.8641979382277336
2.0,30.0,0.0034197434626906478,0.00012810195180039806,-3.8924442531617536
2.0,31.0,0.0034196550805466854,0.00012809864104762687,-3.8924554775047073
2.0,32.0,0.002608579734451205,9.771614714843074e-5,-4.010033665165276
2.0,33.0,0.002608396784698096,9.770929393832585e-5,-4.010064124979683
2.0,34.0,0.0025378263230989378,9.506575825533214e-5,-4.021975883468812
2.0,35.0,0.0025375685849397863,9.505610350736611e-5,-4.022019992060328
2.0,36.0,0.0019368767895674248,7.255447662885726e-5,-4.139335786324371
2.0,37.0,0.0019368461929501412,7.255333049423187e-5,-4.139342646877958
2.0,38.0,0.0018555395559364796,6.950762282363905e-5,-4.15796756420551
2.0,39.0,0.0018555132057410917,6.950663575794353e-5,-4.15797373158991
2.0,40.0,0.0015926932503306202,5.9661526138614e-5,-4.224305641602493
2.0,41.0,0.0015660004062905354,5.8661624988734146e-5,-4.231645910774736
2.0,42.0,0.0015575430160523528,5.8344815202132085e-5,-4.233997731377832
2.0,43.0,0.0015338797707825842,5.745840137078467e-5,-4.240646461280113
2.0,44.0,0.0014219614746789977,5.326599561594947e-5,-4.273549950995619
2.0,45.0,0.0013824902014708297,5.1787420631253174e-5,-4.285775719287378
2.0,46.0,0.0010989571129107092,4.1166406967272326e-5,-4.385457036873849
2.0,47.0,0.001076955011795239,4.034221880013307e-5,-4.394240219505637
2.0,48.0,0.000937333190876295,3.5112052277767725e-5,-4.45454378554856
2.0,49.0,0.0009140278087581619,3.423904382863746e-5,-4.465478372083226
2.0,50.0,0.0009137980587308606,3.4230437502682136e-5,-4.465587550064973
2.0,51.0,0.0009137720141438688,3.422946188493072e-5,-4.465599928272061
2.0,52.0,0.0008931593389153859,3.345732094587946e-5,-4.47550883758172
2.0,53.0,0.0008890875535157628,3.330479381549826e-5,-4.47749325064452
2.0,54.0,0.0008890409657202929,3.330304865899898e-5,-4.477516008079973
2.0,55.0,0.0008434634231117615,3.159573574792322e-5,-4.500371527068698
2.0,56.0,0.0008434388661090659,3.1594815854366876e-5,-4.500384171512697
2.0,57.0,0.0008357189714073013,3.1305632297243704e-5,-4.504377520103407
2.0,58.0,0.0008311149637449662,3.113316837587544e-5,-4.506776679569981
2.0,59.0,0.0008310951275662703,3.11324253221245e-5,-4.506787044978055
2.0,60.0,0.0008296918144161622,3.107985788381304e-5,-4.507520975727523
2.0,61.0,0.0007854975542792392,2.9424362071428322e-5,-4.531292944010841
2.0,62.0,0.0007544881294037248,2.8262763871417215e-5,-4.548785369896811
2.0,63.0,0.0007138501818451431,2.6740485824478393e-5,-4.572830706686096
2.0,64.0,0.0006491563641445755,2.4317086406575465e-5,-4.614088462020571
2.0,65.0,0.000649100568158478,2.4314996315666688e-5,-4.614125791902333
2.0,66.0,0.000647078308081651,2.4239243422002047e-5,-4.615480939900864
2.0,67.0,0.0006470660218529882,2.4238783185762358e-5,-4.615489186031049
2.0,68.0,0.0006279361131959109,2.3522185972120248e-5,-4.6285223207117525
2.0,69.0,0.0006279099603362015,2.35212062985247e-5,-4.628540408983714
2.0,70.0,0.0006271771961127091,2.3493757301761353e-5,-4.629047521965186
2.0,71.0,0.000627159849540237,2.3493107507466847e-5,-4.629059533921192
2.0,72.0,0.0005033434295199223,1.8855003730799142e-5,-4.724573377325435
2.0,73.0,0.0005033106205226662,1.8853774721479884e-5,-4.724601686487793
2.0,74.0,0.0005013991653113104,1.8782172524992e-5,-4.726254174527537
2.0,75.0,0.0005013757669120123,1.8781296032163872e-5,-4.7262744418784175
2.0,76.0,0.0004976657227968574,1.8642319556997815e-5,-4.7295000518462365
2.0,77.0,0.0004976586712529493,1.8642055409541232e-5,-4.7295062055115675
2.0,78.0,0.0004963023740015573,1.8591249164271557e-5,-4.730691428575385
2.0,79.0,0.00046508037190692365,1.7421687923472572e-5,-4.758909770089703
2.0,80.0,0.0004650754553243927,1.7421503750646372e-5,-4.758914361244433
2.0,81.0,0.0004177097238195564,1.5647206140190785e-5,-4.80556319589494
2.0,82.0,0.0004013347748523964,1.5033808396701957e-5,-4.822930989063006
2.0,83.0,0.0004013126498093432,1.5032979603188729e-5,-4.822954931790079
2.0,84.0,0.00038767847890778195,1.4522250093000268e-5,-4.83796608836971
2.0,85.0,0.00038766361651593705,1.4521693354921951e-5,-4.837982738193846
2.0,86.0,0.0002380080670683836,8.915668168778678e-6,-5.049846103847044
2.0,87.0,0.0002327081882668615,8.717137247910609e-6,-5.0596261161640435
2.0,88.0,0.000232704478663146,8.716998287932604e-6,-5.0596330393122
2.0,89.0,0.00023027893399157515,8.626138546552233e-6,-5.064183570822583
2.0,90.0,0.00020554858148829,7.699751389461185e-6,-5.113523297155857
2.0,91.0,0.00020553130773555485,7.699104322959141e-6,-5.113559795635572
