n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
16,0.0875,128,1024,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.00,1.00,1,1,1.00000000,0.00000000,0.00000000e+00,false
16,0.0875,128,1024,0.05,0.480000,0.27290200,0.31090578,0.30797824,4.00,4.00,4,7,0.81107696,0.00328384,1.38029921e-03,false
16,0.0875,128,1024,0.05,0.960000,0.59349105,0.70848271,0.74049149,6.04,6.00,7,11,0.50564457,0.01107070,1.56877261e-02,false
16,0.0875,128,1024,0.05,1.440000,0.89742235,1.06522430,1.20148193,9.95,11.00,11,15,0.34568075,0.01292126,2.13707460e-02,false
16,0.0875,128,1024,0.05,1.920000,1.17217042,1.43666325,1.61354272,14.12,15.00,15,23,0.31615339,0.01528659,2.99110363e-02,false
16,0.0875,128,1024,0.05,2.400000,1.40249114,1.74733716,1.94007425,18.58,21.00,21,33,0.29880224,0.01813283,4.20863464e-02,false
16,0.0875,128,1024,0.05,2.880000,1.63230271,1.97672849,2.23407931,25.10,31.00,31,47,0.25199089,0.01787416,4.08941674e-02,false
16,0.0875,128,1024,0.05,3.360000,1.83201453,2.15981708,2.52679471,31.76,42.00,43,66,0.22919278,0.01793392,4.11680815e-02,false
16,0.0875,128,1024,0.05,3.840000,1.99637386,2.30741994,2.76446260,38.47,57.00,58,90,0.24593408,0.02135329,5.83632657e-02,false
16,0.0875,128,1024,0.05,4.320000,2.09169496,2.39553715,2.99468405,44.82,71.00,80,119,0.28967233,0.02534146,8.22002766e-02,false
16,0.0875,128,1024,0.05,4.800000,2.18845964,2.45909655,3.17694648,48.62,83.30,104,145,0.31431169,0.02575172,8.48833664e-02,false
16,0.0875,128,1024,0.05,5.280000,2.25045349,2.51956717,3.30105319,51.10,90.65,125,164,0.36542644,0.02612575,8.73669873e-02,false
16,0.0875,128,1024,0.05,5.760000,2.31166777,2.57143705,3.37235751,52.13,101.65,141,174,0.40925915,0.02439077,7.61484536e-02,false
16,0.0875,128,1024,0.05,6.240000,2.37714546,2.61369762,3.45428730,52.12,112.65,151,178,0.42810496,0.02302375,6.78518852e-02,false
16,0.0875,128,1024,0.05,6.720000,2.39910616,2.63581333,3.50433947,50.31,108.25,153,183,0.44633812,0.02372034,7.20197937e-02,false
16,0.0875,128,1024,0.05,7.200000,2.44805865,2.66650345,3.49740421,48.46,108.55,153,187,0.45153759,0.02251049,6.48604224e-02,false
16,0.0875,128,1024,0.05,7.680000,2.44051070,2.66951441,3.47870326,44.95,97.65,156,187,0.46289346,0.02238737,6.41528990e-02,false
16,0.0875,128,1024,0.05,8.160000,2.39283316,2.61627897,3.50748381,41.12,96.25,157,191,0.49263176,0.02246397,6.45926137e-02,false
16,0.0875,128,1024,0.05,8.640000,2.39453560,2.59188716,3.52787587,39.55,95.65,158,194,0.51198721,0.02214004,6.27431936e-02,false
16,0.0875,128,1024,0.05,9.120000,2.39585102,2.58307331,3.52369403,37.77,97.30,160,194,0.52282160,0.02181676,6.09242954e-02,false
16,0.0875,128,1024,0.05,9.600000,2.37929885,2.55867130,3.52934623,35.43,89.65,150,169,0.53508041,0.02091361,5.59845243e-02,false
