n,k,theta,p,dt,t,total_damping,S_traj_mean,S_traj_p95,chi_mean,chi_sem,chi_max,chi3_mean,censored,saturated,wall_s,S_op_mpdo,chi_mpdo,sat_mpdo
20,10,0.350000,0.000000,0.700000,7.000000,0.000000,4.341050,4.341050,359.0000,0.0000,359,4.626828e+07,false,false,128.70,NaN,0,false
20,10,0.350000,0.020000,0.700000,7.000000,0.182927,4.190754,4.389981,279.0625,14.7395,361,2.446620e+07,false,false,98.93,NaN,0,false
20,10,0.350000,0.050000,0.700000,7.000000,0.401263,3.626402,4.067034,186.9375,15.6816,315,8.675896e+06,false,false,50.90,NaN,0,false
20,10,0.350000,0.120000,0.700000,7.000000,0.721499,1.996694,2.891020,69.7500,8.6730,140,5.886540e+05,false,false,19.08,NaN,0,false
20,10,0.350000,0.200000,0.700000,7.000000,0.892626,0.661923,1.247265,26.6875,3.4937,54,3.505356e+04,false,false,11.08,NaN,0,false
20,10,0.650000,0.000000,1.300000,13.000000,0.000000,6.988010,6.988010,940.0000,0.0000,940,8.305840e+08,false,false,1302.47,NaN,0,false
20,10,0.650000,0.020000,1.300000,13.000000,0.182927,6.712237,7.047711,764.6875,48.2741,945,5.240115e+08,false,false,1508.08,NaN,0,false
20,10,0.650000,0.050000,1.300000,13.000000,0.401263,5.814863,6.621824,533.3125,51.2097,894,2.201421e+08,false,false,651.14,NaN,0,false
20,10,0.650000,0.120000,1.300000,13.000000,0.721499,3.018850,4.146389,207.6250,27.9581,478,1.739759e+07,false,false,112.31,NaN,0,false
20,10,0.650000,0.200000,1.300000,13.000000,0.892626,1.148492,1.894496,81.6250,11.7168,185,1.135175e+06,false,false,45.03,NaN,0,false
20,10,0.950000,0.000000,1.900000,19.000000,0.000000,6.855276,6.855276,971.0000,0.0000,971,9.154986e+08,false,false,1650.25,NaN,0,false
20,10,0.950000,0.020000,1.900000,19.000000,0.182927,6.940608,7.529724,815.9375,53.8004,985,6.427393e+08,false,false,2037.64,NaN,0,false
20,10,0.950000,0.050000,1.900000,19.000000,0.401263,6.295547,7.207385,643.6875,56.6993,949,3.631464e+08,false,false,1179.62,NaN,0,false
20,10,0.950000,0.120000,1.900000,19.000000,0.721499,3.309421,4.189136,274.0000,27.2409,530,3.072911e+07,false,false,235.54,NaN,0,false
20,10,0.950000,0.200000,1.900000,19.000000,0.892626,1.195421,2.240927,88.3750,10.6172,172,1.176070e+06,false,false,62.39,NaN,0,false
20,10,1.250000,0.000000,2.500000,25.000000,0.000000,5.717071,5.717071,734.0000,0.0000,734,3.954469e+08,false,false,1608.33,NaN,0,false
20,10,1.250000,0.020000,2.500000,25.000000,0.182927,5.824336,6.253921,720.9375,39.8912,918,4.241146e+08,false,false,2052.40,NaN,0,false
20,10,1.250000,0.050000,2.500000,25.000000,0.401263,5.232146,5.774442,507.2500,42.3131,784,1.720201e+08,false,false,1034.91,NaN,0,false
20,10,1.250000,0.120000,2.500000,25.000000,0.721499,3.400510,4.433161,248.8125,22.1775,445,2.106432e+07,false,false,313.50,NaN,0,false
20,10,1.250000,0.200000,2.500000,25.000000,0.892626,1.172967,1.993363,71.0625,11.7148,209,9.554061e+05,false,false,55.27,NaN,0,false
20,10,1.570800,0.000000,3.141600,31.416000,0.000000,1.000000,1.000000,2.0000,0.0000,2,8.000000e+00,false,false,484.48,NaN,0,false
20,10,1.570800,0.020000,3.141600,31.416000,0.182927,1.000000,1.000000,2.0000,0.0000,2,8.000000e+00,false,false,277.02,NaN,0,false
20,10,1.570800,0.050000,3.141600,31.416000,0.401263,0.999984,1.000000,2.0000,0.0000,2,8.000000e+00,false,false,46.13,NaN,0,false
20,10,1.570800,0.120000,3.141600,31.416000,0.721499,0.995582,1.000000,2.0000,0.0000,2,8.000000e+00,false,false,13.29,NaN,0,false
20,10,1.570800,0.200000,3.141600,31.416000,0.892626,0.845374,0.997204,2.0000,0.0000,2,8.000000e+00,false,false,5.76,NaN,0,false
20,10,2.100000,0.000000,4.200000,42.000000,0.000000,5.554317,5.554317,828.0000,0.0000,828,5.676636e+08,false,false,1457.69,NaN,0,false
20,10,2.100000,0.020000,4.200000,42.000000,0.182927,5.652892,6.347090,751.2500,43.9436,934,4.859146e+08,false,false,1986.36,NaN,0,false
20,10,2.100000,0.050000,4.200000,42.000000,0.401263,5.261432,5.852029,599.0625,53.0974,898,2.944343e+08,false,false,1136.52,NaN,0,false
20,10,2.100000,0.120000,4.200000,42.000000,0.721499,3.084892,4.085809,262.6875,33.2876,581,3.360549e+07,false,false,256.64,NaN,0,false
20,10,2.100000,0.200000,4.200000,42.000000,0.892626,1.055179,1.887921,88.4375,9.5642,170,1.074903e+06,false,false,72.55,NaN,0,false
20,10,2.400000,0.000000,4.800000,48.000000,0.000000,7.230884,7.230884,971.0000,0.0000,971,9.154986e+08,false,false,1462.91,NaN,0,false
20,10,2.400000,0.020000,4.800000,48.000000,0.182927,7.059855,7.398964,795.8750,51.4048,974,5.937337e+08,false,false,1835.78,NaN,0,false
20,10,2.400000,0.050000,4.800000,48.000000,0.401263,6.207407,6.844853,561.3750,52.7899,931,2.547324e+08,false,false,935.38,NaN,0,false
20,10,2.400000,0.120000,4.800000,48.000000,0.721499,3.299143,4.446048,262.5000,33.3644,537,3.315697e+07,false,false,194.82,NaN,0,false
20,10,2.400000,0.200000,4.800000,48.000000,0.892626,1.236268,1.912743,89.4375,7.6452,151,9.667221e+05,false,false,48.99,NaN,0,false
