n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
24,0.0583,16,1024,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.00,1.00,1,1,1.00000000,0.00000000,0.00000000e+00,false
24,0.0583,16,1024,0.05,1.000000,0.62236536,0.71475370,0.72196410,6.12,7.00,7,10,0.45597009,0.02080820,6.92769941e-03,false
24,0.0583,16,1024,0.05,2.000000,1.31964050,1.48218250,1.55732971,15.00,15.00,15,24,0.25734314,0.00241482,9.33018743e-05,false
24,0.0583,16,1024,0.05,3.000000,1.71467636,2.15064679,2.34029206,32.31,33.00,33,50,0.29230537,0.06381089,6.51492724e-02,false
24,0.0583,16,1024,0.05,4.000000,2.18553124,2.69201839,2.98389730,56.06,67.00,67,107,0.25343215,0.07838908,9.83175609e-02,false
24,0.0583,16,1024,0.05,5.000000,2.56075263,2.91868462,3.37445191,89.75,123.75,126,204,0.25086155,0.06408896,6.57183258e-02,false
24,0.0583,16,1024,0.05,6.000000,2.88555378,3.14885425,3.69140894,128.81,197.25,198,297,0.22209797,0.05215938,4.35296105e-02,false
24,0.0583,16,1024,0.05,7.000000,3.22282597,3.42155217,4.07974455,178.12,297.25,298,445,0.26735585,0.03640217,2.12018886e-02,false
24,0.0583,16,1024,0.05,8.000000,3.45039189,3.58472187,4.09277189,214.25,385.50,414,619,0.27564145,0.03786459,2.29396344e-02,false
24,0.0583,16,1024,0.05,9.000000,3.68006841,3.80900933,4.45834139,240.19,376.75,481,672,0.36517781,0.05008863,4.01419259e-02,false
24,0.0583,16,1024,0.05,10.000000,3.82358913,3.98036984,4.72429373,267.94,465.25,568,755,0.42276038,0.04267807,2.91426774e-02,false
24,0.0583,16,1024,0.05,11.000000,3.93030303,4.06890249,4.85490585,261.31,501.75,519,682,0.46764374,0.04092132,2.67928703e-02,false
24,0.0583,16,1024,0.05,12.000000,3.95272561,4.07564038,5.00814664,254.81,601.50,612,772,0.48036629,0.04616611,3.41009599e-02,false
