n,family,r,chi_ceiling,chi_rho_exact,ref_selferr,cond_N,lam_min,singular,E_mpf,err_proj,err_best_single,target,chi_direct_star,chi_dmpf_star,speedup,ratio_at_chi32,ratio_at_chi64
10,4-8-16,3,1024,1024,4.160606e-08,1.319831e+06,8.475527e-09,false,1.81229232e-08,5.56633197e-06,3.25077082e-04,8.34949795e-06,392.9,83.8,4.6877,5066.118256,104.193103
10,3-8,2,1024,1024,4.160606e-08,1.843990e+02,1.890802e-04,false,2.38595325e-04,5.94811341e-05,1.34563828e-03,8.92217011e-05,226.2,29.1,7.7692,1164.999683,32.645603
