n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,16,no,6.919432e-03,Z_mid,-0.1382385710,1.38415658e-01,5.29836263e-04,261.242326,1.24048634e-05,9.33331009e-04,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,ZZ_mid,-0.6041188142,8.44292238e-02,5.01832589e-03,16.824181,1.08338202e-04,4.26263510e-03,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z_mean,0.1392920236,1.16453214e-02,4.77978768e-13,24363679278.812904,4.76091389e-13,4.79838391e-13,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z1,0.4874821653,1.18506472e-01,3.08091981e-04,384.646400,4.77755817e-06,1.59592148e-04,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z2,-0.3236673269,1.09756694e-01,7.88504893e-04,139.195958,3.81874725e-05,2.05412651e-03,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z3,0.2835709018,8.03648801e-02,1.49149262e-03,53.882184,6.02426620e-05,3.44850842e-03,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z4,0.0405787558,7.94455962e-02,1.04264998e-03,76.195845,4.03118657e-05,2.51212133e-03,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z5,-0.1382385710,1.38415658e-01,5.29836263e-04,261.242326,1.24048634e-05,9.33331009e-04,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z6,0.2938451310,6.28829249e-02,4.25977311e-03,14.762036,9.27616347e-05,4.36406655e-03,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z7,-0.1656735797,1.51521706e-01,3.40240909e-03,44.533653,9.80792342e-05,3.66253090e-03,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z8,0.3774946096,1.13529306e-01,5.00445715e-04,226.856386,2.97463533e-05,4.75730763e-04,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z9,-0.2147906720,4.71318372e-02,1.06511334e-03,44.250537,1.34615998e-05,8.48807614e-06,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,4-8-16,3,16,no,6.919432e-03,Z10,0.7523188220,3.45346949e-02,1.47028688e-03,23.488406,7.33294562e-05,3.06025662e-03,2.775840e+01,false,3.977950e+00,3.003202e-01,6.119327e-05,0.760600,0.551780,2114.2
10,3-8,2,16,no,6.919432e-03,Z_mid,-0.1382385710,1.38415658e-01,9.87238571e-04,140.204872,8.87655895e-04,3.81665903e-03,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,ZZ_mid,-0.6041188142,8.44292238e-02,5.97028906e-03,14.141564,6.84229429e-03,1.88058021e-02,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z_mean,0.1392920236,1.16453214e-02,4.89080998e-13,23810619196.438171,4.89053242e-13,4.89192020e-13,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z1,0.4874821653,1.18506472e-01,2.19523120e-03,53.983595,2.25702796e-03,4.39413553e-04,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z2,-0.3236673269,1.09756694e-01,3.91958178e-03,28.002144,3.77036242e-03,8.15931825e-03,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z3,0.2835709018,8.03648801e-02,5.81927651e-03,13.810115,5.53829456e-03,1.38027543e-02,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z4,0.0405787558,7.94455962e-02,4.53932693e-03,17.501625,4.34581158e-03,1.00376356e-02,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z5,-0.1382385710,1.38415658e-01,9.87238571e-04,140.204872,8.87655895e-04,3.81665903e-03,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z6,0.2938451310,6.28829249e-02,2.38659710e-03,26.348362,3.13192958e-03,1.87903689e-02,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z7,-0.1656735797,1.51521706e-01,1.63355583e-03,92.755756,2.24101070e-03,1.56259245e-02,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z8,0.3774946096,1.13529306e-01,6.19541284e-04,183.247363,7.12632710e-04,2.02544474e-03,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z9,-0.2147906720,4.71318372e-02,3.95888594e-03,11.905328,4.12189271e-03,6.72589228e-04,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,3-8,2,16,no,6.919432e-03,Z10,0.7523188220,3.45346949e-02,4.01794295e-03,8.595118,3.72684850e-03,1.22887450e-02,8.746877e+00,false,1.477050e+00,3.823394e-03,1.501664e-06,0.778999,0.378380,2114.2
10,4-8-16,3,32,no,1.398122e-03,Z_mid,-0.1382385710,1.49432156e-01,3.89604862e-04,383.547976,1.24048634e-05,9.33331009e-04,7.275501e+01,false,1.517589e+00,2.696647e-01,3.691676e-05,0.772063,0.631635,2170.6
10,4-8-16,3,32,no,1.398122e-03,ZZ_mid,-0.6041188142,1.20774275e-01,3.92271804e-03,30.788416,1.08338202e-04,4.26263510e-03,7.275501e+01,false,1.517589e+00,2.696647e-01,3.691676e-05,0.772063,0.631635,2170.6
10,4-8-16,3,32,no,1.398122e-03,Z_mean,0.1392920236,1.32895485e-02,4.77784479e-13,27814944032.551411,4.76091389e-13,4.79838391e-13,7.275501e+01,false,1.517589e+00,2.696647e-01,3.691676e-05,0.772063,0.631635,2170.6
10,4-8-16,3,32,no,1.398122e-03,Z1,0.4874821653,5.20691589e-02,2.62361764e-04,198.463214,4.77755817e-06,1.59592148e-04,7.275501e+01,false,1.517589e+00,2.696647e-01,3.691676e-05,0.772063,0.631635,2170.6
10,4-8-16,3,32,no,1.398122e-03,Z2,-0.3236673269,4.74824715e-02,5.43766993e-04,87.321357,3.81874725e-05,2.05412651e-03,7.275501e+01,false,1.517589e+00,2.696647e-01,3.691676e-05,0.772063,0.631635,2170.6
10,4-8-16,3,32,no,1.398122e-03,Z3,0.2835709018,2.52686380e-02,1.05212125e-03,24.016850,6.02426620e-05,3.44850842e-03,7.275501e+01,false,1.517589e+00,2.696647e-01,3.691676e-05,0.772063,0.631635,2170.6
10,4-8-16,3,32,no,1.398122e-03,Z4,0.0405787558,8.67845338e-03,7.30593858e-04,11.878629,4.03118657e-05,2.51212133e-03,7.275501e+01,false,1.517589e+00,2.696647e-01,3.691676e-05,0.772063,0.631635,2170.6
10,4-8-16,3,32,no,1.398122e-03,Z5,-0.1382385710,1.49432156e-01,3.89604862e-04,383.547976,1.24048634e-05,9.33331009e-04,7.275501e+01,false,1.517589e+00,2.696647e-01,3.691676e-05,0.772063,0.631635,2170.6
