n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,err_dmpf_cl,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,16,no,NaN,Z_mid,0.0450521809,5.67301629e-02,1.29008357e-03,6.96209012e-02,43.974022,5.56633197e-06,3.25077082e-04,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,ZZ_mid,-0.4400287306,3.32759448e-02,1.40290083e-02,4.06171738e-02,2.371938,6.84454008e-05,2.79833993e-03,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,Z_mean,0.2591817793,4.39458121e-03,2.26318964e-13,1.01234082e-02,19417644657.202599,2.19213536e-13,2.23099317e-13,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,Z1,0.5528241271,4.14788047e-02,5.61687630e-04,8.10208802e-02,73.846748,7.48038600e-07,3.11622633e-04,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,Z2,-0.1136137213,2.30503862e-02,6.64160018e-03,6.11306648e-02,3.470607,3.62467186e-05,1.90578709e-03,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,Z3,0.3263197306,9.37608428e-02,1.12099271e-02,6.67971763e-02,8.364090,5.23238252e-05,3.12562876e-03,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,Z4,0.2065606881,7.39624418e-02,7.80695706e-03,5.67799389e-02,9.473914,3.28233879e-05,2.18482176e-03,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,Z5,0.0450521809,5.67301629e-02,1.29008357e-03,6.96209012e-02,43.974022,5.56633197e-06,3.25077082e-04,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,Z6,0.3309519723,1.05117514e-02,1.58041717e-02,6.33741068e-03,0.665125,6.66329763e-05,3.71485585e-03,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
10,4-8-16,3,16,no,NaN,Z7,0.0529617514,6.97187155e-02,1.16622663e-02,7.95563693e-02,5.978145,6.16777836e-05,2.81344650e-03,1.435734e+01,false,3.565890e+00,7.386205e-01,4.931048e-04,0.908587,0.663163,20.9
