n,family,chi,relerr_N,corr_min,dc_max,sqrt_dcNdc,ratio,dc_frac_null,cond_N
10,2-4-8-16,16,0.9200952,0.045583,0.3302775,0.009148918515321907,36.10016850044916,0.800196,107.0591
10,2-4-8-16,32,0.3765877,0.066833,0.6117851,0.012516565023999195,48.87803473452712,0.83925,362.3685
10,2-4-8-16,64,0.04489263,0.04955,0.2640579,0.0023039791665724757,114.6094998735717,0.825414,3538.018
10,2-4-8-16,128,0.01641945,0.023345,0.1081672,0.0009279848059100968,116.56139121148418,0.823245,24509.87
10,3-8,4,8.177767,0.198666,0.009547792,0.0030601331670370166,3.1200576833865954,0.778999,10.78367
10,3-8,8,6.950355,0.4302,0.03233182,0.010362572074538251,3.1200574304754043,0.778999,9.545326
10,3-8,16,1.367174,0.386611,0.009265624,0.002969696280766772,3.1200577850363964,0.778999,8.977563
10,3-8,32,0.4657306,0.4366,0.002295516,0.0007357286184456875,3.120058051907163,0.778999,24.0623
10,3-8,64,0.04369272,0.363958,0.0006407218,0.00020535574011943276,3.1200579035548888,0.778999,104.0131
10,3-8,128,0.0131544,0.311572,0.001233302,0.0003952817982148938,3.120057653981626,0.778999,174.4322
10,4-6-8-12,4,28.22787,0.351662,1.217777,0.006435658474468638,189.22337237613377,0.920712,286.79
10,4-6-8-12,8,29.90078,0.604444,2.061711,0.035379471448850106,58.274217097356015,0.95979,279.2795
10,4-6-8-12,16,4.790041,0.563818,2.205724,0.010747185678120575,205.23735851056108,0.958759,60.24565
10,4-6-8-12,32,1.039998,0.632567,2.40342,0.00970717106061287,247.59221661931426,0.967588,148.0075
10,4-6-8-12,64,0.08730203,0.584847,2.267336,0.0032781976755528333,691.6410248560247,0.934272,1719.52
10,4-6-8-12,128,0.01658291,0.585292,2.449698,0.0012914608007988473,1896.8427059378903,0.911819,13386.84
10,4-8-16,4,23.2347,0.351662,0.05998126,0.002450460772997601,24.477543432219928,0.888376,174.9154
10,4-8-16,8,23.01295,0.604444,0.3667599,0.016364602042212944,22.411782398003492,0.893572,25.39721
10,4-8-16,16,3.546431,0.563818,0.328154,0.005392794266426265,60.850457812377,0.79204,26.95514
10,4-8-16,32,0.8823704,0.632567,0.5994276,0.009619604981494822,62.31312004527373,0.847718,51.07448
10,4-8-16,64,0.07406503,0.584847,0.2377495,0.0024742020936051284,96.09138259744103,0.826047,361.2685
10,4-8-16,128,0.01545217,0.585292,0.07818121,0.0008079965346460342,96.75933824920362,0.824471,2507.625
