n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,err_dmpf_cl,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,16,no,NaN,Z_mid,0.3309135339,4.37169802e-03,1.38371921e-04,6.86738628e-03,31.593823,2.72164031e-07,2.37981065e-04,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,ZZ_mid,-0.1297463844,4.00014884e-03,1.00192499e-03,1.19212992e-03,3.992463,1.81655094e-05,1.14822715e-03,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z_mean,0.4511883639,9.08901201e-05,9.05941988e-14,6.69148495e-04,1003266448.662377,9.28146449e-14,8.77631301e-14,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z1,0.6585943534,6.32053779e-03,3.68427157e-04,9.61346470e-03,17.155461,5.00056499e-06,4.21268241e-04,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z2,0.2113636855,1.28805097e-02,5.00083428e-04,9.55188285e-03,25.756722,2.59197794e-05,1.53726349e-03,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z3,0.4331497918,3.57086319e-02,6.59493733e-04,3.11090597e-02,54.145521,3.24085886e-05,2.47537006e-03,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z4,0.4465588400,1.47111050e-02,4.39773689e-04,4.71843669e-03,33.451535,1.75074230e-05,1.63443449e-03,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z5,0.3309135339,4.37169802e-03,1.38371921e-04,6.86738628e-03,31.593823,2.72164031e-07,2.37981065e-04,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z6,0.4331784795,4.42485686e-03,2.27285793e-04,3.36961322e-03,19.468251,3.02123224e-05,2.58225491e-03,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z7,0.3487127094,3.20633597e-02,3.70472019e-04,2.99300300e-02,86.547318,1.97930010e-05,1.60327279e-03,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z8,0.4590083501,5.82844433e-04,2.19091905e-04,1.90059043e-03,2.660274,7.43556355e-06,4.71588616e-04,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z9,0.3438929620,3.69631404e-03,5.67957102e-04,6.68555146e-04,6.508087,1.92246207e-05,1.11307674e-03,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,4-8-16,3,16,no,NaN,Z10,0.8465109336,4.52671950e-03,4.17427087e-04,1.26660167e-03,10.844336,2.84985925e-05,1.65754885e-03,1.677112e+01,false,1.339124e+00,6.999574e-01,1.590641e-06,0.825577,0.710073,23.0
10,3-8,2,16,no,NaN,Z_mid,0.3309135339,4.37169802e-03,7.61890122e-04,8.35342532e-03,5.737964,7.17704364e-04,9.34036246e-04,1.489314e+01,false,5.035303e-01,2.384230e-02,2.183906e-06,0.780373,0.475166,23.0
