n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,err_dmpf_cl,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,16,no,NaN,Z_mid,-0.2626139139,2.12433817e-01,1.99644837e-03,2.41953067e-01,106.405866,1.84876678e-05,1.47367522e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,ZZ_mid,-0.7012554985,9.93652616e-02,6.40366985e-03,8.69689980e-02,15.516924,1.37981862e-04,5.45263530e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z_mean,0.0582354664,1.19400170e-02,6.68812228e-13,8.85828009e-03,17852569785.602444,6.58376131e-13,6.64635014e-13,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z1,0.4433110422,1.59654064e-01,1.56564197e-04,1.36975125e-01,1019.735462,9.63593892e-06,1.66679291e-05,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z2,-0.4682203715,1.20779421e-01,2.96295269e-03,1.10434757e-01,40.763196,3.78558590e-05,2.11217542e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z3,0.2654622635,1.50297038e-01,5.04851163e-03,1.08138455e-01,29.770564,6.43612248e-05,3.62837970e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z4,-0.0795587099,1.54945583e-01,3.81708256e-03,9.07898183e-02,40.592673,4.48565923e-05,2.72638307e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z5,-0.2626139139,2.12433817e-01,1.99644837e-03,2.41953067e-01,106.405866,1.84876678e-05,1.47367522e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z6,0.2802439202,1.10781785e-01,5.65750691e-03,1.53521789e-01,19.581379,1.12008362e-04,4.75542004e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z7,-0.3297017218,2.61973888e-01,5.10148215e-03,2.41308641e-01,51.352505,1.26981319e-04,4.25613420e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z8,0.3933754248,2.55924464e-01,1.04666485e-03,2.48646436e-01,244.514243,4.68365491e-05,9.07301220e-04,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z9,-0.3871045465,1.63503487e-01,3.98405494e-04,1.60174643e-01,410.394659,7.52273016e-06,5.85281756e-04,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
10,4-8-16,3,16,no,NaN,Z10,0.7271612771,1.17578676e-01,4.77569191e-03,1.08796320e-01,24.620239,8.58611616e-05,3.48849139e-03,1.125598e+01,false,5.367652e+00,7.286198e-01,6.105576e-04,0.860066,0.619828,22.5
