n,family,r,chi_ceiling,chi_rho_exact,ref_selferr,cond_N,lam_min,singular,E_mpf,err_proj,err_best_single,target,chi_direct_star,chi_dmpf_star,speedup,ratio_at_chi32,ratio_at_chi64
10,4-8-16,3,1024,1024,0.000000e+00,3.408366e+06,1.071569e-10,false,2.28848641e-10,1.30462568e-06,3.81946779e-04,1.95693852e-06,284.7,108.1,2.6335,61.063024,0.116557
10,3-8,2,1024,1024,0.000000e+00,4.197777e+02,2.861250e-06,false,3.70557661e-06,7.22078781e-04,1.51905897e-03,1.08311817e-03,16.0,16.0,1.0000,7.237484,0.006388
