n,family,r,chi_ceiling,chi_rho_exact,ref_selferr,cond_N,lam_min,singular,E_mpf,err_proj,err_best_single,target,chi_direct_star,chi_dmpf_star,speedup,ratio_at_chi32,ratio_at_chi64
10,4-8-16,3,1024,1024,0.000000e+00,1.568553e+06,9.828841e-10,false,2.09947284e-09,2.72164031e-07,2.37981065e-04,4.08246046e-07,520.9,244.3,2.1321,120.408050,11.747870
10,3-8,2,1024,1024,0.000000e+00,2.184148e+02,2.233285e-05,false,2.83551837e-05,7.17704364e-04,9.34036246e-04,1.07655655e-03,67.1,16.0,4.1918,31.231984,1.682796
