n,family,r,chi_ceiling,chi_rho_exact,ref_selferr,cond_N,lam_min,singular,E_mpf,err_proj,err_best_single,target,chi_direct_star,chi_dmpf_star,speedup,ratio_at_chi32,ratio_at_chi64
10,4-8-16,3,1024,1024,0.000000e+00,1.287460e+06,3.238326e-08,false,6.92673415e-08,1.24048634e-05,9.33331009e-04,1.86072952e-05,361.0,147.4,2.4498,383.547976,16.009502
10,3-8,2,1024,1024,0.000000e+00,1.794439e+02,7.218158e-04,false,9.10137154e-04,8.87655895e-04,3.81665903e-03,1.33148384e-03,62.8,16.0,3.9260,252.526244,1.222055
