n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,err_dmpf_cl,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,16,no,NaN,Z_mid,0.6696613567,8.10827882e-04,6.64494926e-05,8.27786447e-04,12.202168,1.30462568e-06,3.81946779e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,ZZ_mid,0.3453493880,1.33017190e-03,7.23700376e-06,1.87427750e-03,183.801466,5.46084773e-06,1.38016178e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z_mean,0.6988057881,6.94431761e-04,2.62123656e-13,6.57398518e-04,2649252537.886065,2.63233879e-13,2.67452727e-13,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z1,0.8007386991,7.75123219e-04,6.02463297e-05,6.59467757e-04,12.865899,2.91990079e-06,3.55285195e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z2,0.6021250149,4.44239184e-03,1.28635525e-04,4.40302665e-03,34.534720,7.38798520e-06,8.88434294e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z3,0.6387399604,1.94575365e-03,2.13369372e-04,1.07013519e-03,9.119180,5.43714264e-06,1.42074759e-03,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z4,0.7172310222,5.25918454e-03,1.37185789e-04,6.25701836e-03,38.336220,5.22640429e-07,8.80733262e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z5,0.6696613567,8.10827882e-04,6.64494926e-05,8.27786447e-04,12.202168,1.30462568e-06,3.81946779e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z6,0.6417567354,8.26079633e-03,1.73498140e-04,8.23350316e-03,47.613169,5.50499663e-06,1.15638530e-03,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z7,0.6527812354,4.35643205e-03,8.83487129e-05,4.10863547e-03,49.309513,7.15067009e-07,4.82750656e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z8,0.6645514040,4.15704380e-03,3.99153688e-05,4.06784449e-03,104.146446,1.03171467e-05,4.62529530e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
10,4-8-16,3,16,no,NaN,Z9,0.6826935497,2.16955067e-03,1.46339563e-04,1.91050447e-03,14.825455,8.11594835e-06,9.64355172e-04,5.760708e+02,false,3.559466e-01,1.063325e-01,2.816660e-08,0.851704,0.702439,23.1
