n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
8,2-4-8-16,4,16,no,6.125618e-03,Z8,0.6822338771,8.86608705e-02,1.56441645e-04,566.734456,1.07558340e-05,8.66317780e-04,4.717318e+02,false,4.322660e-01,1.180190e-01,6.243247e-06,0.782097,0.107502,69.9
8,4-8-16,3,32,no,1.467262e-03,Z_mid,0.5472968202,9.34914908e-02,2.93174305e-03,31.889388,1.37269516e-05,1.85901616e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,ZZ_mid,-0.5911151966,3.06886459e-02,6.98117443e-04,43.959145,2.45305318e-05,1.34601135e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z_mean,0.1392920236,2.58450762e-03,5.51114709e-13,4689600149.673751,5.46174217e-13,5.52058399e-13,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z1,-0.4064784575,8.53461033e-02,1.71090645e-04,498.835592,1.10493545e-05,1.11442886e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z2,0.3476279498,5.85283167e-02,3.75912575e-03,15.569662,1.50322360e-05,5.62776983e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z3,-0.1930512129,3.15481015e-02,2.48469510e-03,12.696971,9.92883058e-06,2.88917543e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z4,0.5472968202,9.34914908e-02,2.93174305e-03,31.889388,1.37269516e-05,1.85901616e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z5,-0.2420958587,9.71567029e-02,2.88534976e-03,33.672418,2.38593918e-05,2.61300088e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z6,0.7480519530,7.26719056e-02,7.66155410e-04,94.852695,5.90578843e-06,2.53501122e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z7,-0.3692488824,8.91413171e-02,1.01314066e-03,87.985135,2.80992833e-05,1.43034509e-03,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,4-8-16,3,32,no,1.467262e-03,Z8,0.6822338771,5.78244507e-02,2.87381479e-04,201.211473,1.61731796e-05,8.66317780e-04,4.650206e+01,false,9.932864e-01,5.064568e-01,3.624754e-05,0.788505,0.643082,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z_mid,0.5472968202,9.34914908e-02,4.92064841e-03,18.999832,7.28682571e-06,1.85901616e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,ZZ_mid,-0.5911151966,3.06886459e-02,8.38254116e-04,36.610194,5.02480428e-06,1.34601135e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z_mean,0.1392920236,2.58450762e-03,5.51059198e-13,4690072558.271482,5.46118706e-13,5.52058399e-13,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z1,-0.4064784575,8.53461033e-02,3.16381852e-05,2697.566336,8.13300942e-06,1.11442886e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z2,0.3476279498,5.85283167e-02,5.27689836e-03,11.091424,2.02863704e-06,5.62776983e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
8,2-4-8-16,4,32,no,1.467262e-03,Z3,-0.1930512129,3.15481015e-02,3.47611087e-03,9.075689,4.74127206e-06,2.88917543e-03,5.371091e+02,false,2.615332e-01,4.935525e-01,7.469457e-05,0.804861,0.086727,70.8
