n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,3-8,2,16,no,2.892329e-03,Z6,0.3309519723,1.80833278e-02,2.75488911e-03,6.564086,4.96716239e-04,1.57107969e-02,7.986993e+00,false,1.068623e+00,2.266294e-02,1.419127e-05,0.779138,0.363336,2004.6
10,3-8,2,16,no,2.892329e-03,Z7,0.0529617514,6.78359904e-02,2.55739721e-03,26.525402,2.43949594e-04,1.17752484e-02,7.986993e+00,false,1.068623e+00,2.266294e-02,1.419127e-05,0.779138,0.363336,2004.6
10,3-8,2,16,no,2.892329e-03,Z8,0.3827838627,2.47709795e-02,2.11541961e-04,117.097238,3.00883669e-04,1.44436950e-04,7.986993e+00,false,1.068623e+00,2.266294e-02,1.419127e-05,0.779138,0.363336,2004.6
10,3-8,2,16,no,2.892329e-03,Z9,0.0189315908,4.84147399e-03,3.08722943e-03,1.568226,3.33231555e-03,2.11069236e-03,7.986993e+00,false,1.068623e+00,2.266294e-02,1.419127e-05,0.779138,0.363336,2004.6
10,3-8,2,16,no,2.892329e-03,Z10,0.7890456106,8.08136355e-03,4.32599701e-03,1.868093,2.90994728e-03,9.96819764e-03,7.986993e+00,false,1.068623e+00,2.266294e-02,1.419127e-05,0.779138,0.363336,2004.6
10,4-8-16,3,32,no,4.845102e-04,Z_mid,0.0450521809,6.97285904e-02,1.18261356e-05,5896.143304,5.56633199e-06,3.25077083e-04,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,ZZ_mid,-0.4400287306,6.19195365e-02,5.63636955e-04,109.857127,6.84454007e-05,2.79833993e-03,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z_mean,0.2591817793,8.39264548e-03,1.64701586e-13,50956676883.514328,1.64313008e-13,1.66089364e-13,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z1,0.5528241271,7.98841625e-03,9.53752313e-05,83.757765,7.48038680e-07,3.11622633e-04,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z2,-0.1136137213,2.01365589e-02,8.19506453e-05,245.715685,3.62467186e-05,1.90578709e-03,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z3,0.3263197306,2.00878402e-02,7.90086923e-05,254.248483,5.23238251e-05,3.12562876e-03,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z4,0.2065606881,1.94854041e-03,5.77715790e-05,33.728356,3.28233880e-05,2.18482176e-03,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z5,0.0450521809,6.97285904e-02,1.18261356e-05,5896.143304,5.56633199e-06,3.25077083e-04,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z6,0.3309519723,4.29649498e-03,3.05343458e-04,14.071024,6.66329761e-05,3.71485585e-03,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z7,0.0529617514,5.35647891e-02,1.75194666e-04,305.744405,6.16777835e-05,2.81344650e-03,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z8,0.3827838627,2.73748559e-02,2.31707478e-05,1181.440328,9.81389210e-06,2.14667094e-05,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z9,0.0189315908,3.64746933e-02,2.00075762e-04,182.304408,1.92516197e-05,6.18591574e-04,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,4-8-16,3,32,no,4.845102e-04,Z10,0.7890456106,4.28750192e-02,4.66098818e-05,919.869725,5.55852775e-05,2.47696875e-03,1.052572e+02,false,7.854435e-01,1.487358e-01,6.747177e-07,0.815572,0.561012,2073.6
10,3-8,2,32,no,4.845102e-04,Z_mid,0.0450521809,6.97285904e-02,1.84128663e-04,378.694926,5.94811341e-05,1.34563828e-03,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,ZZ_mid,-0.4400287306,6.19195365e-02,8.79512628e-03,7.040210,5.40801837e-03,1.24744852e-02,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
10,3-8,2,32,no,4.845102e-04,Z_mean,0.2591817793,8.39264548e-03,1.69919634e-13,49391852438.218559,1.70030656e-13,1.70752301e-13,2.380293e+01,false,3.121130e-01,2.139615e-02,1.264911e-05,0.779138,0.329270,2073.6
