n,family,r,chi,at_ceiling,eps_chi,obs,O_exact,err_direct,err_dmpf,ratio,err_proj,err_best_single,cond_N,singular,relerr_N,dc_max,dcNdc,dc_frac_null,corr_min,time_s
10,4-8-16,3,16,no,6.766961e-04,Z_mid,0.3309135339,7.08256480e-04,1.84567591e-05,38.373827,2.72164068e-07,2.37981065e-04,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,ZZ_mid,-0.1297463844,1.07316871e-02,1.71628579e-03,6.252856,1.81655095e-05,1.14822715e-03,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z_mean,0.4511883639,7.10925018e-04,5.75650638e-14,12349938849.586308,5.73985304e-14,5.76760861e-14,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z1,0.6585943534,4.03705108e-03,9.22909387e-05,43.742659,5.00056498e-06,4.21268241e-04,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z2,0.2113636855,1.37973750e-02,4.87623250e-04,28.295154,2.59197794e-05,1.53726349e-03,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z3,0.4331497918,3.33602918e-02,9.34601938e-04,35.694653,3.24085886e-05,2.47537006e-03,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z4,0.4465588400,1.08051133e-02,6.15439992e-04,17.556729,1.75074231e-05,1.63443449e-03,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z5,0.3309135339,7.08256480e-04,1.84567591e-05,38.373827,2.72164068e-07,2.37981065e-04,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z6,0.4331784795,7.97406491e-04,1.42993595e-03,0.557652,3.02123225e-05,2.58225491e-03,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z7,0.3487127094,3.13077460e-02,6.61808834e-04,47.306328,1.97930009e-05,1.60327279e-03,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z8,0.4590083501,5.55113307e-03,5.15886646e-04,10.760374,7.43556354e-06,4.71588616e-04,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
10,4-8-16,3,16,no,6.766961e-04,Z9,0.3438929620,5.21426529e-03,1.50520529e-04,34.641556,1.92246209e-05,1.11307674e-03,1.945700e+01,false,2.623987e+00,4.165244e-01,1.873914e-06,0.787116,0.570763,2137.6
