n,family,r,chi_ceiling,chi_rho_exact,ref_selferr,cond_N,lam_min,singular,E_mpf,err_proj,err_best_single,target,chi_direct_star,chi_dmpf_star,speedup,ratio_at_chi32,ratio_at_chi64
10,4-8-16,3,1024,1024,1.451414e-08,1.281181e+06,7.671563e-08,false,1.64108646e-07,1.84876678e-05,1.47367522e-03,2.77315018e-05,379.9,175.5,2.1644,112.815401,53.150331
10,3-8,2,1024,1024,1.451414e-08,1.783917e+02,1.710315e-03,false,2.15624436e-03,1.58210979e-03,6.01749912e-03,2.37316468e-03,146.4,18.6,7.8647,461.518958,8.106177
