n,family,r,chi_ceiling,chi_rho_exact,ref_selferr,cond_N,lam_min,singular,E_mpf,err_proj,err_best_single,target,chi_direct_star,chi_dmpf_star,speedup,ratio_at_chi32,ratio_at_chi64
10,4-8-16,3,1024,1024,1.500299e-08,1.319831e+06,8.475527e-09,false,1.81229233e-08,5.56633199e-06,3.25077083e-04,8.34949799e-06,384.1,60.3,6.3668,5896.143304,432.322441
10,3-8,2,1024,1024,1.500299e-08,1.843990e+02,1.890802e-04,false,2.38595325e-04,5.94811341e-05,1.34563828e-03,8.92217011e-05,232.7,37.4,6.2199,378.694926,41.371721
