n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_std,chi_sem,chi3_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
10,0.14,256,512,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.000,0.000,0.000,1.000000e+00,1.00,1.00,1,-1.00000000,0.00000000,0.00000000e+00,false
10,0.14,256,512,0.05,0.300000,0.14525662,0.15257907,0.15321827,3.992,0.125,0.008,6.378125e+01,4.00,4.00,5,-0.86215465,0.01954943,9.78381801e-02,false
10,0.14,256,512,0.05,0.600000,0.36698883,0.42085560,0.42054684,4.012,0.108,0.007,6.471484e+01,4.00,5.00,8,-0.59216256,0.02606388,1.73907395e-01,false
10,0.14,256,512,0.05,0.900000,0.57362239,0.66552246,0.69513914,5.750,0.736,0.046,1.985469e+02,6.00,7.00,10,-0.31958101,0.02744432,1.92816756e-01,false
10,0.14,256,512,0.05,1.200000,0.76845732,0.88130324,1.01094577,7.574,1.019,0.064,4.549961e+02,8.00,8.00,13,-0.13272334,0.02613195,1.74817002e-01,false
10,0.14,256,512,0.05,1.500000,0.94121228,1.10769322,1.27163474,9.461,1.976,0.123,9.482031e+02,11.00,11.00,16,-0.01523058,0.02591313,1.71901528e-01,false
10,0.14,256,512,0.05,1.800000,1.08443626,1.30599873,1.53084351,10.809,2.964,0.185,1.533895e+03,14.00,14.00,20,0.03513422,0.02621115,1.75878221e-01,false
10,0.14,256,512,0.05,2.100000,1.20958895,1.47021785,1.75487187,11.871,3.652,0.228,2.114543e+03,16.00,16.00,24,0.09925635,0.02659504,1.81067857e-01,false
10,0.14,256,512,0.05,2.400000,1.29030477,1.57769422,1.93702061,12.664,4.970,0.311,2.958992e+03,20.00,20.00,27,0.17206390,0.02660342,1.81181932e-01,false
10,0.14,256,512,0.05,2.700000,1.39308859,1.67392836,2.11666154,13.285,6.046,0.378,3.859027e+03,24.00,24.00,29,0.21607918,0.02421263,1.50080390e-01,false
10,0.14,256,512,0.05,3.000000,1.44335617,1.71404323,2.23264549,13.105,6.717,0.420,4.178395e+03,26.00,26.00,30,0.28006136,0.02341547,1.40360728e-01,false
10,0.14,256,512,0.05,3.300000,1.48119916,1.72828001,2.32677659,12.848,7.248,0.453,4.395191e+03,28.00,28.00,30,0.33142948,0.02271126,1.32045191e-01,false
10,0.14,256,512,0.05,3.600000,1.48309627,1.72110594,2.46857164,12.070,7.136,0.446,3.857461e+03,28.00,28.00,31,0.37692297,0.02259608,1.30709254e-01,false
10,0.14,256,512,0.05,3.900000,1.49672876,1.72301973,2.53688592,11.684,7.195,0.450,3.687504e+03,29.00,29.00,31,0.42197896,0.02173923,1.20984070e-01,false
10,0.14,256,512,0.05,4.200000,1.50670448,1.70952251,2.52975658,11.215,7.025,0.439,3.330598e+03,23.00,29.00,31,0.44510416,0.02061165,1.08759073e-01,false
10,0.14,256,512,0.05,4.500000,1.51285155,1.70639805,2.48094375,10.871,7.102,0.444,3.229379e+03,23.00,29.00,32,0.46371813,0.01957526,9.80968672e-02,false
10,0.14,256,512,0.05,4.800000,1.48370491,1.67764557,2.45325388,10.168,6.746,0.422,2.698941e+03,21.00,28.00,32,0.49022708,0.01960196,9.83646602e-02,false
10,0.14,256,512,0.05,5.100000,1.45476990,1.63903849,2.44297090,9.676,6.882,0.430,2.593965e+03,22.00,29.00,32,0.50549312,0.02020575,1.04517738e-01,false
10,0.14,256,512,0.05,5.400000,1.42734358,1.61069903,2.42849853,9.316,6.857,0.429,2.432941e+03,22.00,28.00,32,0.52150410,0.02073108,1.10023094e-01,false
10,0.14,256,512,0.05,5.700000,1.38151856,1.56747692,2.37563788,8.492,6.250,0.391,1.862727e+03,21.00,28.00,32,0.54358962,0.02042551,1.06803567e-01,false
10,0.14,256,512,0.05,6.000000,1.34038501,1.51466292,2.36579353,8.027,6.194,0.387,1.697637e+03,21.25,28.00,32,0.57090781,0.02007585,1.03178167e-01,false
