label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,S_op_mid,S_op_max,S_half_mid,linkdim_mid,linkdim_max,chi_req_mid_1e-06,chi_req_mid_1e-10,chi_req_max_1e-06,chi_req_max_1e-10,trace_re,trace_im,purity,z_mid_re,ceiling_mid,saturated
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,0.000000,0.0000000000,0.0000000000,0.0000000000,1,1,1,1,1,1,1.0000000000,0.000e+00,1.0000000000,1.0000000000,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,0.500000,0.6175091955,0.6447556403,1.1914909104,32,32,12,26,12,26,0.9999313330,-1.610e-07,1.0001373479,0.7836542125,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,1.000000,1.4149294833,1.4267153097,2.1774059253,83,83,30,72,30,72,0.9999444949,-2.109e-07,1.0002483825,0.4246288162,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,1.500000,2.1684708104,2.1770537684,3.0978753866,157,157,72,145,72,145,0.9999315869,-4.655e-07,1.0003852566,0.2638432736,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,2.000000,2.8622838746,2.9297396713,3.9779432492,218,218,132,210,132,210,0.9999300069,-1.785e-06,1.0005253113,0.2067645003,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,2.500000,3.5101938552,3.5550200747,4.7862465224,244,244,186,240,186,240,0.9999934305,1.189e-08,1.0005384572,0.1173130718,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,3.000000,3.9779111129,3.9779111129,5.3050351749,251,251,213,250,213,250,0.9999857953,-6.818e-07,1.0005668826,0.0824247064,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,3.500000,4.0321103451,4.0321103451,5.2978036408,253,253,221,251,221,251,0.9999968844,4.185e-08,1.0005731173,0.1332144811,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,4.000000,4.1847525478,4.1847525478,5.3006022321,253,253,209,251,209,251,0.9999978862,4.786e-08,1.0005773473,0.1510580537,256,false
g0p100_closed_n8,8,0.100000,0.500000,false,2,512,1.000e-12,0.02000,4.500000,4.4473812391,4.4473812391,5.4629378530,253,253,210,252,210,252,0.9999976870,-1.051e-07,1.0005819760,0.0776954063,256,false
