layer,gamma_0.01,gamma_0.05,gamma_0.1,gamma_0.2
1,16,16,16,16
2,172,222,232,238
3,228,244,247,250
4,244,252,254,254
5,250,254,256,256
6,254,256,256,256
7,254,256,256,256
8,256,256,256,256
