# t	c_k3	c_k8	c_k12
0.0	NaN	NaN	NaN
0.25252525252525254	-0.26997336777990144	2.440781416499115	-1.1708080487192134
0.5050505050505051	-0.39619490081557274	3.9549482658135098	-2.558753364997937
0.7575757575757576	-0.46885409814426454	4.827466464519678	-3.358612366375413
1.0101010101010102	0.01664101377761853	-0.9997158350721925	1.983074821294574
1.2626262626262625	0.032560615788947755	-1.1908602062052995	2.1582995904163518
1.5151515151515151	0.014393718545688257	-0.9727504313249744	1.9583567127792862
1.7676767676767677	0.01160013682232841	-0.939203060010154	1.9276029231878256
2.0202020202020203	0.0112268597174598	-0.9347160757626292	1.9234892160451693
2.272727272727273	0.010876872667895979	-0.9305047790678674	1.9196279063999715
2.525252525252525	0.01090146531165137	-0.9307899480931779	1.9198884827815266
2.7777777777777777	0.010857651182017425	-0.930248648297746	1.9193909971157286
3.0303030303030303	0.010838741422836397	-0.9300010503175663	1.91916230889473
3.282828282828283	0.010831753956052315	-0.9298899767895976	1.9190582228335453
3.5353535353535355	0.01081062771269481	-0.9296003615197169	1.9187897338070221
3.787878787878788	0.010782738860200045	-0.9292189822219508	1.9184362433617508
4.040404040404041	0.010751418734500917	-0.9287837705325169	1.918032351798016
4.292929292929293	0.010714534733030408	-0.9282664026027425	1.917551867869712
4.545454545454546	0.010672354242480586	-0.927666989950325	1.9169946357078445
4.797979797979798	0.010625632266932361	-0.9269910247421232	1.9163653924751909
5.05050505050505	0.010575859458437337	-0.926252461402711	1.9156766019442737
5.303030303030303	0.010525502378164062	-0.925476891039897	1.9149513886617329
5.555555555555555	0.010477897350734256	-0.924700708702044	1.9142228113513096
5.808080808080808	0.010436543465783134	-0.9239629851899874	1.9135264417242042
6.0606060606060606	0.010404712491794976	-0.9233010607551682	1.9128963482633732
6.313131313131313	0.010384530044832085	-0.9227391199691425	1.9123545899243104
6.565656565656566	0.010376445266941519	-0.9222807992543728	1.9119043539874312
6.818181818181818	0.01037937397471067	-0.9219096256917223	1.9115302517170116
7.070707070707071	0.01039139340566686	-0.9215964009626024	1.9112050075569356
7.3232323232323235	0.010410752904115972	-0.9213111654893287	1.9109004125852127
7.575757575757576	0.01043670860214592	-0.9210336226959217	1.9105969140937757
7.828282828282828	0.010469877679221584	-0.9207577923597796	1.910287914680558
8.080808080808081	0.010512212528191041	-0.9204918379176533	1.9099796253894623
8.333333333333334	0.010566649255590222	-0.9202538160720565	1.909687166816466
8.585858585858587	0.010636543141427035	-0.9200650695265682	1.9094285263851412
8.83838383838384	0.010724939731061858	-0.9199420671948123	1.9092171274637504
9.090909090909092	0.01083382821133938	-0.9198884008147594	1.90905457260342
9.343434343434344	0.01096357029530279	-0.9198889487138278	1.9089253784185252
9.595959595959595	0.01111268078397223	-0.9199079737562846	1.9087952929723124
9.848484848484848	0.01127802623004281	-0.9198917535748012	1.9086137273447585
10.1010101010101	0.011455353973371718	-0.9197747272152461	1.9083193732418744
10.353535353535353	0.011639963438597665	-0.919487100925906	1.9078471374873085
10.606060606060606	0.01182732775309942	-0.9189618366214716	1.9071345088683722
10.858585858585858	0.012013542918853993	-0.9181396878660767	1.9061261449472227
11.11111111111111	0.012195572921045561	-0.9169719254575296	1.904776352536484
11.363636363636363	0.012371328236462475	-0.9154211422998825	1.90304981406342
11.616161616161616	0.012539641553947522	-0.9134608229523353	1.900921181398388
11.868686868686869	0.012700201508231812	-0.9110743523535243	1.8983741508452925
