# t	c_k3	c_k8	c_k12
0.0	NaN	NaN	NaN
0.25252525252525254	0.0511559196453703	-1.5227966876615233	2.471640768016153
0.5050505050505051	0.05140613071208603	-1.524426532336253	2.473020401624167
0.7575757575757576	0.05156138059876602	-1.5251958157690102	2.473634435170244
1.0101010101010102	0.051776156301885	-1.5262476265614282	2.474471470259543
1.2626262626262625	0.05204713827606387	-1.5275506541014612	2.4755035158253973
1.5151515151515151	0.05236808734169429	-1.5290493506296152	2.476681263287921
1.7676767676767677	0.05272816620207421	-1.5306513735918046	2.4779232073897304
2.0202020202020203	0.05311028270803808	-1.5322155773504265	2.4791052946423884
2.272727272727273	0.05348966381643777	-1.533542307727194	2.480052643910756
2.525252525252525	0.05383308380798083	-1.5343691979615424	2.4805361141535616
2.7777777777777777	0.054099840168566844	-1.5343803738607082	2.480280533692141
3.0303030303030303	0.05424520752262363	-1.5332340534970184	2.4789888459743947
3.282828282828283	0.05422643869428412	-1.5306087052133754	2.4763822665190913
3.5353535353535355	0.05401015061102008	-1.5262594811019643	2.4722493304909445
3.787878787878788	0.05357856983874831	-1.5200675569757054	2.466488987136957
4.040404040404041	0.05293196525226307	-1.5120641799071515	2.4591322146548884
4.292929292929293	0.052086016543155145	-1.5024201940248327	2.4503341774816776
4.545454545454546	0.05106516031014641	-1.4914058615589028	2.4403407012487563
4.797979797979798	0.049894529208849604	-1.479335353288615	2.4294408240797654
5.05050505050505	0.04859311453797144	-1.4665111613230755	2.417918046785104
5.303030303030303	0.04716961519130185	-1.4531782762376992	2.4060086610463975
5.555555555555555	0.04562113911271819	-1.4394915846426237	2.3938704455299056
5.808080808080808	0.043934134674389676	-1.42549507179103	2.38156093711664
6.0606060606060606	0.04208673224205454	-1.4111084156788782	2.3690216834368236
6.313131313131313	0.04005182115340662	-1.3961148947538167	2.35606307360041
6.565656565656566	0.03780044711191507	-1.3801440148973414	2.3423435677854263
6.818181818181818	0.03530538897798485	-1.3626430093253943	2.3273376203474094
7.070707070707071	0.032545128458934425	-1.3428345288867969	2.3102894004278625
7.3232323232323235	0.02950908157811072	-1.3196670209095427	2.290157939331432
7.575757575757576	0.026206241510202677	-1.2917878814055728	2.26558163989537
7.828282828282828	0.02268131492825464	-1.2576207998832447	2.23493948495499
8.080808080808081	0.01904333808650189	-1.2157117396631834	2.1966684015766815
8.333333333333334	0.015505466027407268	-1.1655580440940823	2.150052578066675
8.585858585858587	0.012411045577909618	-1.1089162530941792	2.0965052075162696
8.83838383838384	0.010186873081926553	-1.0508100764501649	2.0406232033682383
9.090909090909092	0.009181304185549188	-0.9986740947423072	1.989492790556758
9.343434343434344	0.00947106139224178	-0.9591471192723393	1.9496760578800973
9.595959595959595	0.010816665179927356	-0.9349224448079893	1.9241057796280618
9.848484848484848	0.012808428367313218	-0.92443913620837	1.9116307078410568
10.1010101010101	0.01505027526767996	-0.923945680682876	1.908895405415196
10.353535353535353	0.017253196289583092	-0.9295967711973424	1.912343574907759
10.606060606060606	0.01924155942013739	-0.9384176233853085	1.9191760639651712
10.858585858585858	0.020926139145830767	-0.948375415127285	1.9274492759814543
