n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_std,chi_sem,chi3_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
16,0.0875,256,1024,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.000,0.000,0.000,1.000000e+00,1.00,1.00,1,1.00000000,0.00000000,0.00000000e+00,false
16,0.0875,256,1024,0.05,0.480000,0.28030729,0.31350028,0.30799980,4.000,0.000,0.000,6.400000e+01,4.00,4.00,7,0.80710086,0.00188255,9.07260752e-04,false
16,0.0875,256,1024,0.05,0.960000,0.61400456,0.71005517,0.74333055,6.047,0.212,0.013,2.219531e+02,6.00,7.00,11,0.49347601,0.00695566,1.23855965e-02,false
16,0.0875,256,1024,0.05,1.440000,0.90717790,1.06290202,1.20215612,9.918,0.543,0.034,9.839570e+02,10.00,11.00,15,0.34815472,0.00888224,2.01969027e-02,false
16,0.0875,256,1024,0.05,1.920000,1.16349218,1.43394736,1.62466230,13.977,1.657,0.104,2.835758e+03,15.00,15.00,23,0.33079713,0.01138868,3.32037397e-02,false
16,0.0875,256,1024,0.05,2.400000,1.38327752,1.74146351,1.94061567,18.379,2.998,0.187,6.672777e+03,21.00,21.00,33,0.31103202,0.01244914,3.96751389e-02,false
16,0.0875,256,1024,0.05,2.880000,1.59358776,1.96953383,2.23956368,24.582,5.538,0.346,1.698883e+04,31.00,31.00,47,0.27443257,0.01311028,4.40011591e-02,false
16,0.0875,256,1024,0.05,3.360000,1.78097802,2.14345864,2.56154977,30.941,8.588,0.537,3.616807e+04,42.00,43.00,66,0.25577698,0.01453013,5.40479509e-02,false
16,0.0875,256,1024,0.05,3.840000,1.93281331,2.27541824,2.80962627,37.188,12.315,0.770,6.796921e+04,57.00,58.00,90,0.26766865,0.01618880,6.70917982e-02,false
16,0.0875,256,1024,0.05,4.320000,2.06338419,2.37700348,3.00974561,43.539,17.420,1.089,1.228583e+05,71.25,80.00,119,0.28239084,0.01687626,7.29108641e-02,false
16,0.0875,256,1024,0.05,4.800000,2.17348579,2.44767366,3.18740822,48.027,23.057,1.441,1.915194e+05,83.25,104.00,145,0.31145389,0.01751706,7.85529634e-02,false
16,0.0875,256,1024,0.05,5.280000,2.24540819,2.50154897,3.31437072,50.027,26.825,1.677,2.440723e+05,91.00,125.00,164,0.36127246,0.01782337,8.13241922e-02,false
16,0.0875,256,1024,0.05,5.760000,2.31223195,2.55113460,3.39433383,50.977,29.276,1.830,2.797441e+05,101.00,141.00,174,0.39700300,0.01659463,7.04977286e-02,false
16,0.0875,256,1024,0.05,6.240000,2.37921572,2.59852369,3.45428730,51.004,31.352,1.959,3.092679e+05,112.00,151.00,178,0.41443922,0.01579934,6.39025130e-02,false
16,0.0875,256,1024,0.05,6.720000,2.42361927,2.62770827,3.51042420,49.371,30.464,1.904,2.793132e+05,106.25,153.00,183,0.43064090,0.01552848,6.17302003e-02,false
16,0.0875,256,1024,0.05,7.200000,2.45003814,2.64285407,3.52200357,47.402,31.345,1.959,2.731142e+05,106.25,153.00,187,0.44253075,0.01534267,6.02617743e-02,false
16,0.0875,256,1024,0.05,7.680000,2.42312450,2.62939890,3.55932562,42.617,28.890,1.806,2.103625e+05,96.25,156.00,187,0.46511994,0.01594330,6.50723501e-02,false
16,0.0875,256,1024,0.05,8.160000,2.39902478,2.60620903,3.62951356,39.668,29.052,1.816,1.946372e+05,94.25,157.00,191,0.48914063,0.01578332,6.37729596e-02,false
16,0.0875,256,1024,0.05,8.640000,2.38932529,2.57910823,3.62330240,37.742,28.729,1.796,1.779957e+05,92.50,158.00,194,0.51402580,0.01589780,6.47014638e-02,false
16,0.0875,256,1024,0.05,9.120000,2.37153370,2.55538251,3.63478444,35.676,28.817,1.801,1.680963e+05,89.50,160.00,194,0.52882522,0.01564288,6.26431361e-02,false
16,0.0875,256,1024,0.05,9.600000,2.34775933,2.52979894,3.62520175,33.445,27.330,1.708,1.390920e+05,89.00,150.00,169,0.54878675,0.01526040,5.96172461e-02,false
