n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
20,0.07,64,1024,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.00,1.00,1,1,1.00000000,0.00000000,0.00000000e+00,false
20,0.07,64,1024,0.05,0.600000,0.37851813,0.41098044,0.41647729,4.00,4.00,4,7,0.71156177,0.00293197,5.50170983e-04,false
20,0.07,64,1024,0.05,1.200000,0.83803859,0.88231723,1.01708396,8.00,8.00,8,13,0.34976697,0.00553731,1.96235534e-03,false
20,0.07,64,1024,0.05,1.800000,1.20626880,1.35120655,1.55378942,13.78,14.00,14,20,0.32358922,0.02168028,3.00821979e-02,false
20,0.07,64,1024,0.05,2.400000,1.51115585,1.77280117,1.96069213,20.12,21.00,21,33,0.29588135,0.02332582,3.48220153e-02,false
20,0.07,64,1024,0.05,3.000000,1.78389772,2.12598526,2.38998981,30.02,33.00,34,51,0.25922424,0.02821985,5.09670407e-02,false
20,0.07,64,1024,0.05,3.600000,2.03966622,2.39328448,2.66312946,41.72,49.00,49,80,0.22898718,0.02548428,4.15647139e-02,false
20,0.07,64,1024,0.05,4.200000,2.26391293,2.58761152,3.03459788,56.00,75.00,76,121,0.23391087,0.02726097,4.75622794e-02,false
20,0.07,64,1024,0.05,4.800000,2.40039085,2.76072872,3.32431610,72.34,111.00,112,176,0.28035429,0.03455593,7.64231744e-02,false
20,0.07,64,1024,0.05,5.400000,2.57631892,2.89174491,3.52610092,91.19,158.95,162,253,0.28354099,0.03251037,6.76431411e-02,false
20,0.07,64,1024,0.05,6.000000,2.66880466,2.98232184,3.60434923,105.80,195.90,227,343,0.32574348,0.03252520,6.77048748e-02,false
20,0.07,64,1024,0.05,6.600000,2.76603886,3.06992570,3.73198735,116.12,225.80,296,422,0.36939664,0.03049475,5.95154866e-02,false
20,0.07,64,1024,0.05,7.200000,2.82658490,3.11871279,3.89899602,118.89,250.10,351,469,0.41566266,0.03098299,6.14365313e-02,false
20,0.07,64,1024,0.05,7.800000,2.89621066,3.18718907,4.06909691,123.62,270.30,387,501,0.44380452,0.03045727,5.93692886e-02,false
20,0.07,64,1024,0.05,8.400000,2.93876404,3.21330183,4.17028993,124.41,251.30,402,528,0.45459815,0.03003913,5.77503696e-02,false
20,0.07,64,1024,0.05,9.000000,3.01441111,3.25610973,4.25022252,121.03,254.55,345,454,0.45222878,0.03118073,6.22232222e-02,false
20,0.07,64,1024,0.05,9.600000,3.00162823,3.23597445,4.12543767,108.64,240.55,375,487,0.48393307,0.03455613,7.64240576e-02,false
20,0.07,64,1024,0.05,10.200000,3.01132580,3.23897022,4.14833110,103.06,232.70,404,515,0.49002154,0.03411030,7.44648041e-02,false
20,0.07,64,1024,0.05,10.800000,3.02108097,3.22290118,4.22414567,98.34,238.90,427,532,0.49905859,0.03172726,6.44236038e-02,false
20,0.07,64,1024,0.05,11.400000,2.98984344,3.18610000,4.29777995,93.92,247.50,445,549,0.51047401,0.03003118,5.77197930e-02,false
20,0.07,64,1024,0.05,12.000000,2.98802556,3.17586471,4.42722213,92.97,247.40,459,559,0.52187428,0.03130282,6.27114404e-02,false
