n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_std,chi_sem,chi3_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
20,0.07,128,1024,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.000,0.000,0.000,1.000000e+00,1.00,1.00,1,1.00000000,0.00000000,0.00000000e+00,false
20,0.07,128,1024,0.05,0.600000,0.38612213,0.42039681,0.41650002,4.016,0.125,0.011,6.495312e+01,4.00,5.00,8,0.71565165,0.00299630,1.14915739e-03,false
20,0.07,128,1024,0.05,1.200000,0.83954201,0.88435516,1.01545707,8.000,0.000,0.000,5.120000e+02,8.00,8.00,13,0.35342930,0.00500558,3.20714111e-03,false
20,0.07,128,1024,0.05,1.800000,1.20799547,1.35120358,1.55133979,13.695,0.865,0.076,2.597023e+03,14.00,14.00,21,0.31024953,0.01291033,2.13346172e-02,false
20,0.07,128,1024,0.05,2.400000,1.50617323,1.77084338,1.95806866,19.820,2.048,0.181,8.014164e+03,21.00,21.00,33,0.29282739,0.01628211,3.39337061e-02,false
20,0.07,128,1024,0.05,3.000000,1.75643976,2.08378741,2.36586598,29.242,5.131,0.454,2.711563e+04,33.00,34.00,51,0.26034784,0.01934593,4.79059386e-02,false
20,0.07,128,1024,0.05,3.600000,1.96523478,2.33360960,2.71525748,40.602,8.793,0.777,7.557521e+04,49.00,50.00,80,0.25679014,0.02168555,6.01936930e-02,false
20,0.07,128,1024,0.05,4.200000,2.14582611,2.52024599,3.01767252,54.836,15.413,1.362,2.022745e+05,75.00,77.00,121,0.27141320,0.02229383,6.36178988e-02,false
20,0.07,128,1024,0.05,4.800000,2.30160836,2.68777794,3.32892127,70.625,25.737,2.275,4.882194e+05,111.00,113.00,177,0.29020972,0.02463969,7.77106385e-02,false
20,0.07,128,1024,0.05,5.400000,2.47799641,2.82018110,3.55346778,88.055,36.262,3.205,1.025630e+06,143.65,162.00,253,0.29611447,0.02243653,6.44349474e-02,false
20,0.07,128,1024,0.05,6.000000,2.61486362,2.92897250,3.79314457,103.266,49.392,4.366,1.879767e+06,190.50,227.00,343,0.32894910,0.02165216,6.00084766e-02,false
20,0.07,128,1024,0.05,6.600000,2.74513237,3.02862106,3.90396980,114.086,59.880,5.293,2.801308e+06,230.00,296.00,422,0.36757167,0.02185145,6.11181900e-02,false
20,0.07,128,1024,0.05,7.200000,2.82567950,3.09301494,4.08620520,118.094,67.958,6.007,3.496223e+06,236.30,351.00,469,0.39939298,0.02216183,6.28667708e-02,false
20,0.07,128,1024,0.05,7.800000,2.88525661,3.16031465,4.18758065,119.734,76.387,6.752,4.232793e+06,268.10,387.00,501,0.42320865,0.02167396,6.01293538e-02,false
20,0.07,128,1024,0.05,8.400000,2.95412760,3.21265922,4.25912694,121.414,80.201,7.089,4.647703e+06,247.70,402.00,528,0.43309404,0.02190934,6.14424296e-02,false
20,0.07,128,1024,0.05,9.000000,3.01659155,3.25718743,4.26400237,118.250,77.960,6.891,4.209512e+06,254.30,405.00,523,0.45070867,0.02252801,6.49614580e-02,false
20,0.07,128,1024,0.05,9.600000,3.00952051,3.24012076,4.33236583,109.078,75.039,6.633,3.529219e+06,251.85,375.00,487,0.47524184,0.02337827,6.99575425e-02,false
20,0.07,128,1024,0.05,10.200000,2.99777693,3.23950510,4.21839822,101.047,72.884,6.442,3.041438e+06,237.65,404.00,515,0.47894836,0.02278259,6.64379349e-02,false
20,0.07,128,1024,0.05,10.800000,3.01591797,3.23343933,4.28340136,95.438,71.917,6.357,2.821099e+06,236.10,427.00,532,0.48882419,0.02178065,6.07227652e-02,false
20,0.07,128,1024,0.05,11.400000,2.98479790,3.19626917,4.38478919,90.781,77.471,6.848,3.012197e+06,245.50,445.00,549,0.50728546,0.02161233,5.97878548e-02,false
20,0.07,128,1024,0.05,12.000000,2.96478076,3.16812541,4.42598539,86.008,76.793,6.788,2.840195e+06,219.90,459.00,559,0.52635857,0.02076944,5.52153131e-02,false
