n,k,theta,p,dt,t,gamma_over_J,S_op,chi_mpdo,linkdim,trace,sat_mpdo,S_traj_mean,S_traj_p95,chi_traj_mean,chi_traj_sem,chi_traj_max,sat_traj,wall_s
24,10,0.100000,0.050000,0.200000,2.000000,1.025866,2.28798432,137,256,0.99997528,true,1.50283773,1.72553086,13.4062,0.3256,16,false,8.89
24,10,0.200000,0.050000,0.400000,4.000000,0.512933,4.04460833,256,256,0.99412760,true,2.39165816,2.88678095,43.1719,1.8771,75,false,14.94
24,10,0.350000,0.050000,0.700000,7.000000,0.293105,4.13178743,256,256,0.73445833,true,3.46072437,4.29578685,166.8750,7.7533,248,true,90.69
24,10,0.500000,0.050000,1.000000,10.000000,0.205173,3.96817202,256,256,0.43567741,true,4.66461605,5.60644314,224.4062,6.5419,256,true,176.24
24,10,0.650000,0.050000,1.300000,13.000000,0.157826,3.88646471,256,256,0.15017037,true,5.59940118,6.55625288,233.4219,5.8242,256,true,204.84
24,10,0.800000,0.050000,1.600000,16.000000,0.128233,2.90279815,256,256,0.04246855,true,6.17534397,6.91081630,236.4219,5.6303,256,true,219.65
24,10,0.950000,0.050000,1.900000,19.000000,0.107986,4.01229710,256,256,0.07144400,true,6.19973149,6.78779464,242.6250,4.7907,256,true,229.03
24,10,1.100000,0.050000,2.200000,22.000000,0.093261,4.97745580,256,256,0.21658278,true,5.81576384,6.42300112,239.3125,5.1225,256,true,233.71
24,10,1.250000,0.050000,2.500000,25.000000,0.082069,3.98223995,256,256,0.52264227,true,4.71047521,5.42426616,227.9062,7.0089,256,true,225.15
24,10,1.400000,0.050000,2.800000,28.000000,0.073276,2.42269628,256,256,0.84702677,true,2.98570902,3.68777897,181.1562,7.8406,254,true,197.51
24,10,1.570800,0.050000,3.141600,31.416000,0.065308,0.00000001,1,10,1.00000000,false,0.00000000,0.00000000,1.0000,0.0000,1,false,1.47
24,10,1.700000,0.050000,3.400000,34.000000,0.060345,1.80896701,256,256,0.91069017,true,2.15528721,2.54093212,124.3125,6.3469,219,true,173.02
24,10,1.900000,0.050000,3.800000,38.000000,0.053993,4.30889517,256,256,0.52050809,true,4.49592068,5.16751850,229.1719,6.8195,256,true,221.67
24,10,2.100000,0.050000,4.200000,42.000000,0.048851,5.25004540,256,256,0.13143656,true,6.09025577,6.80704754,239.0312,5.7720,256,true,227.35
24,10,2.400000,0.050000,4.800000,48.000000,0.042744,3.56266063,256,256,0.06468929,true,5.90858703,6.76129062,232.9219,6.4300,256,true,208.27
24,10,2.700000,0.050000,5.400000,54.000000,0.037995,3.83770011,256,256,0.57990343,true,3.98672848,4.79246174,204.3125,8.1861,256,true,141.88
24,10,3.000000,0.050000,6.000000,60.000000,0.034196,3.08356959,252,256,0.99990027,true,1.90549871,2.21476730,21.8906,0.8393,32,false,8.55
