n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_std,chi_sem,chi3_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
24,0.058333,32,1024,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.000,0.000,0.000,1.000000e+00,1.00,1.00,1,1.00000000,0.00000000,0.00000000e+00,false
24,0.058333,32,1024,0.05,1.000000,0.64568257,0.73663889,0.87544426,6.156,0.369,0.065,2.358438e+02,7.00,7.00,11,0.44747105,0.01183068,4.47887882e-03,false
24,0.058333,32,1024,0.05,2.000000,1.35300543,1.49616932,1.67884485,15.031,0.177,0.031,3.397531e+03,15.00,16.00,25,0.28724417,0.02354545,1.77404208e-02,false
24,0.058333,32,1024,0.05,3.000000,1.81064244,2.17096684,2.37159363,32.250,1.685,0.298,3.379575e+04,33.00,33.00,51,0.27178470,0.03939493,4.96627456e-02,false
24,0.058333,32,1024,0.05,4.000000,2.23364442,2.67393199,2.97599751,57.375,8.107,1.433,1.994901e+05,67.00,67.00,107,0.25397828,0.04870078,7.58965230e-02,false
24,0.058333,32,1024,0.05,5.000000,2.59061120,2.96340241,3.45751419,92.281,20.231,3.576,8.944905e+05,123.90,126.00,204,0.25638213,0.04436526,6.29848504e-02,false
24,0.058333,32,1024,0.05,6.000000,2.94269365,3.23572193,3.79343251,140.125,39.615,7.003,3.399127e+06,197.45,229.00,361,0.24314093,0.03626154,4.20767871e-02,false
24,0.058333,32,1024,0.05,7.000000,3.27303667,3.51440872,4.10227262,196.125,68.634,12.133,1.027876e+07,301.15,335.00,499,0.26977611,0.02488460,1.98157836e-02,false
24,0.058333,32,1024,0.05,8.000000,3.48307764,3.69507210,4.30508823,232.094,87.682,15.500,1.786890e+07,393.10,416.00,619,0.27787440,0.03512303,3.94760766e-02,false
24,0.058333,32,1024,0.05,9.000000,3.71924941,3.90072526,4.56536220,262.781,101.279,17.904,2.614487e+07,417.00,481.00,672,0.33132047,0.03235516,3.34994071e-02,false
24,0.058333,32,1024,0.05,10.000000,3.85970796,4.04413125,4.85611077,286.875,141.948,25.093,4.048513e+07,491.50,568.00,755,0.38056051,0.02864452,2.62562817e-02,false
24,0.058333,32,1024,0.05,11.000000,3.89477347,4.10868394,4.87078443,270.375,156.794,27.717,3.995810e+07,515.80,519.00,685,0.41232550,0.02946304,2.77782685e-02,false
24,0.058333,32,1024,0.05,12.000000,3.90361073,4.08764944,5.01677588,265.250,191.158,33.792,5.119335e+07,604.30,616.00,782,0.45177425,0.03355252,3.60246971e-02,false
