n,k,theta,p,dt,t,total_damping,S_traj_mean,S_traj_p95,chi_mean,chi_sem,chi_max,chi3_mean,censored,saturated,wall_s,S_op_mpdo,chi_mpdo,sat_mpdo
12,10,0.200000,0.000000,0.400000,4.000000,0.000000,2.518893,2.518893,44.0000,0.0000,44,8.518400e+04,false,false,17.94,NaN,0,false
12,10,0.200000,0.005000,0.400000,4.000000,0.048890,2.505256,2.521388,42.5938,0.5478,44,7.840353e+04,false,false,5.64,NaN,0,false
12,10,0.200000,0.010000,0.400000,4.000000,0.095618,2.468306,2.563842,41.1875,0.8940,44,7.270419e+04,false,false,4.27,NaN,0,false
12,10,0.200000,0.020000,0.400000,4.000000,0.182927,2.355390,2.517995,35.8125,1.0677,44,4.967531e+04,false,false,4.06,NaN,0,false
12,10,0.200000,0.035000,0.400000,4.000000,0.299718,2.193210,2.474048,30.8750,1.1392,44,3.312538e+04,false,false,3.87,NaN,0,false
12,10,0.200000,0.050000,0.400000,4.000000,0.401263,2.037624,2.430388,27.8750,1.3654,45,2.644381e+04,false,false,3.71,NaN,0,false
12,10,0.200000,0.080000,0.400000,4.000000,0.565612,1.595146,2.183494,21.0312,1.1926,38,1.228259e+04,false,false,3.23,NaN,0,false
12,10,0.200000,0.120000,0.400000,4.000000,0.721499,1.096049,1.610225,15.8750,1.0811,30,5.923625e+03,false,false,2.91,NaN,0,false
12,10,0.200000,0.200000,0.400000,4.000000,0.892626,0.422808,1.162100,10.0312,0.6742,21,1.474781e+03,false,false,2.41,NaN,0,false
12,10,0.350000,0.000000,0.700000,7.000000,0.000000,3.842973,3.842973,61.0000,0.0000,61,2.269810e+05,false,false,3.78,NaN,0,false
12,10,0.350000,0.005000,0.700000,7.000000,0.048890,3.813055,3.867182,59.7812,0.9232,62,2.177130e+05,false,false,5.90,NaN,0,false
12,10,0.350000,0.010000,0.700000,7.000000,0.095618,3.768927,3.886880,58.8438,1.0435,62,2.090338e+05,false,false,5.80,NaN,0,false
12,10,0.350000,0.020000,0.700000,7.000000,0.182927,3.594788,3.911976,51.5312,2.2070,62,1.587324e+05,false,false,5.55,NaN,0,false
12,10,0.350000,0.035000,0.700000,7.000000,0.299718,3.274416,3.774066,45.3125,2.3251,62,1.153994e+05,false,false,5.41,NaN,0,false
12,10,0.350000,0.050000,0.700000,7.000000,0.401263,2.960047,3.600269,41.5000,2.2293,61,9.108044e+04,false,false,5.12,NaN,0,false
12,10,0.350000,0.080000,0.700000,7.000000,0.565612,2.421398,3.192406,34.6875,1.7985,57,5.262919e+04,false,false,4.68,NaN,0,false
12,10,0.350000,0.120000,0.700000,7.000000,0.721499,1.649819,2.485134,27.2500,1.7286,54,2.860656e+04,false,false,4.16,NaN,0,false
12,10,0.350000,0.200000,0.700000,7.000000,0.892626,0.544418,1.315218,16.0000,1.1588,35,6.243438e+03,false,false,3.40,NaN,0,false
12,10,0.500000,0.000000,1.000000,10.000000,0.000000,4.340585,4.340585,63.0000,0.0000,63,2.500470e+05,false,false,4.12,NaN,0,false
12,10,0.500000,0.005000,1.000000,10.000000,0.048890,4.341085,4.468669,61.8750,0.9711,64,2.414841e+05,false,false,6.50,NaN,0,false
12,10,0.500000,0.010000,1.000000,10.000000,0.095618,4.295482,4.425255,60.5312,1.3455,63,2.305368e+05,false,false,6.39,NaN,0,false
12,10,0.500000,0.020000,1.000000,10.000000,0.182927,4.107919,4.477174,53.5000,2.3158,63,1.777759e+05,false,false,6.07,NaN,0,false
