n,gamma,Ntraj,maxdim,dt,t,S_mid_mean,S_max_mean,S_max_p95,chi_mean,chi_p95,chi_max,linkdim_max,z_mid,z_sem,z_var,saturated
10,0.14,256,512,0.05,0.000000,0.00000000,0.00000000,0.00000000,1.00,1.00,1,1,-1.00000000,0.00000000,0.00000000e+00,false
10,0.14,256,512,0.05,0.300000,0.14525662,0.15257907,0.15321827,3.99,4.00,4,5,-0.86215465,0.01954943,9.78381801e-02,false
10,0.14,256,512,0.05,0.600000,0.36698883,0.42085560,0.42054684,4.01,4.00,5,8,-0.59216256,0.02606388,1.73907395e-01,false
10,0.14,256,512,0.05,0.900000,0.57362239,0.66552246,0.69513914,5.75,6.00,7,10,-0.31958101,0.02744432,1.92816756e-01,false
10,0.14,256,512,0.05,1.200000,0.76845732,0.88130324,1.01094577,7.57,8.00,8,13,-0.13272334,0.02613195,1.74817002e-01,false
10,0.14,256,512,0.05,1.500000,0.94121228,1.10769322,1.27163474,9.46,11.00,11,16,-0.01523058,0.02591313,1.71901528e-01,false
10,0.14,256,512,0.05,1.800000,1.08443626,1.30599873,1.53084351,10.81,14.00,14,20,0.03513422,0.02621115,1.75878221e-01,false
10,0.14,256,512,0.05,2.100000,1.20958895,1.47021785,1.75487187,11.87,16.00,16,24,0.09925635,0.02659504,1.81067857e-01,false
10,0.14,256,512,0.05,2.400000,1.29030477,1.57769422,1.93702061,12.66,20.00,20,27,0.17206390,0.02660342,1.81181932e-01,false
10,0.14,256,512,0.05,2.700000,1.39308859,1.67392836,2.11666154,13.29,24.00,24,29,0.21607918,0.02421263,1.50080390e-01,false
10,0.14,256,512,0.05,3.000000,1.44335617,1.71404323,2.23264549,13.11,26.00,26,30,0.28006136,0.02341547,1.40360728e-01,false
10,0.14,256,512,0.05,3.300000,1.48119916,1.72828001,2.32677659,12.85,28.00,28,30,0.33142948,0.02271126,1.32045191e-01,false
10,0.14,256,512,0.05,3.600000,1.48309627,1.72110594,2.46857164,12.07,28.00,28,31,0.37692297,0.02259608,1.30709254e-01,false
10,0.14,256,512,0.05,3.900000,1.49672876,1.72301973,2.53688592,11.68,29.00,29,31,0.42197896,0.02173923,1.20984070e-01,false
10,0.14,256,512,0.05,4.200000,1.50670448,1.70952251,2.52975658,11.21,23.00,29,31,0.44510416,0.02061165,1.08759073e-01,false
10,0.14,256,512,0.05,4.500000,1.51285155,1.70639805,2.48094375,10.87,23.00,29,32,0.46371813,0.01957526,9.80968672e-02,false
10,0.14,256,512,0.05,4.800000,1.48370491,1.67764557,2.45325388,10.17,21.00,28,32,0.49022708,0.01960196,9.83646602e-02,false
10,0.14,256,512,0.05,5.100000,1.45476990,1.63903849,2.44297090,9.68,22.00,29,32,0.50549312,0.02020575,1.04517738e-01,false
10,0.14,256,512,0.05,5.400000,1.42734358,1.61069903,2.42849853,9.32,22.00,28,32,0.52150410,0.02073108,1.10023094e-01,false
10,0.14,256,512,0.05,5.700000,1.38151856,1.56747692,2.37563788,8.49,21.00,28,32,0.54358962,0.02042551,1.06803567e-01,false
10,0.14,256,512,0.05,6.000000,1.34038501,1.51466292,2.36579353,8.03,21.25,28,32,0.57090781,0.02007585,1.03178167e-01,false
