maxdim,M_dist,E_mpf,coeffs
16,0.01921769398019284,0.005964927555680788,"0.6852327679202787;0.31476723207972135"
32,0.018647104705531072,-0.000932191914388758,"-0.016917307162017003;1.016917307162017"
64,0.014013087396616964,-0.0008475410645572001,"-0.3499854643012206;1.3499854643012206"
128,0.007103432857260399,-0.0006403304857736103,"-0.4017816649880759;1.4017816649880759"
