label,n,gamma,Jmean,dissipation,order,maxdim,cutoff,dt,t,bond,S_op_bond,S_half_bond,linkdim_bond,chi_req_1e-06,chi_req_1e-10,ceiling_bond
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,1,0.0000000000,0.0000000000,1,1,1,4
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,2,0.0000000000,0.0000000000,1,1,1,16
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,3,0.0000000000,0.0000000000,1,1,1,64
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,4,0.0000000000,0.0000000000,1,1,1,256
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,5,0.0000000000,0.0000000000,1,1,1,1024
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,6,0.0000000000,0.0000000000,1,1,1,4096
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,7,0.0000000000,0.0000000000,1,1,1,1024
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,8,0.0000000000,0.0000000000,1,1,1,256
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,9,0.0000000000,0.0000000000,1,1,1,64
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,10,0.0000000000,0.0000000000,1,1,1,16
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.000000,11,0.0000000000,0.0000000000,1,1,1,4
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,1,0.8198119334,1.2634539754,4,4,4,4
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,2,0.7798847632,1.3943827727,16,13,16,16
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,3,0.7794386127,1.3951386616,38,15,32,64
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,4,0.7806105455,1.3953566466,41,15,34,256
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,5,0.7794000256,1.3951174096,43,15,34,1024
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,6,0.7806106894,1.3953540298,40,15,34,4096
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,7,0.7794000240,1.3951174135,43,15,34,1024
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,8,0.7806105682,1.3953566170,41,15,34,256
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,9,0.7794385876,1.3951375761,38,15,32,64
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,10,0.7798746116,1.3943127339,16,13,16,16
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,0.600000,11,0.8196781646,1.2632316395,4,4,4,4
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,1,1.6333299988,1.8062999916,4,4,4,4
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,2,1.7336737358,2.4703856450,16,16,16,16
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,3,1.7208877961,2.5504004178,63,39,61,64
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,4,1.7205927250,2.5495226632,116,43,100,256
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,5,1.7194333084,2.5495344884,131,43,108,1024
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,6,1.7204016732,2.5494240948,126,43,107,4096
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,7,1.7194282699,2.5495283770,131,43,108,1024
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,8,1.7205771055,2.5494905268,113,43,99,256
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,9,1.7208155293,2.5499906115,60,38,58,64
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,10,1.7327286312,2.4688713581,16,16,16,16
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.200000,11,1.6305473722,1.8044399067,4,4,4,4
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,1,1.9160601835,1.9576938490,4,4,4,4
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,2,2.4322094299,3.0628841720,16,16,16,16
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,3,2.6212380050,3.5917921344,64,57,64,64
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,4,2.5845336824,3.6194324018,217,106,202,256
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,5,2.5850045873,3.6209913890,256,114,253,1024
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,6,2.5845694061,3.6202301322,256,113,254,4096
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,7,2.5848545511,3.6208411200,256,114,253,1024
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,8,2.5838452565,3.6183604284,199,105,187,256
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,9,2.6190735484,3.5877335262,64,56,64,64
open_n12_g0p050_g0p05,12,0.050000,0.500000,true,2,256,1.000e-12,0.05000,1.800000,10,2.4220378706,3.0529266311,16,16,16,16
